datetime,type,period
2018-05-03 06:14:21.559,IN,morning
2018-05-03 06:14:24.262,OUT,morning
2018-05-03 06:14:26.065,IN,morning
2018-05-03 06:14:27.867,OUT,morning
2018-05-03 06:14:30.965,IN,morning
2018-05-03 06:14:31.771,OUT,morning
2018-05-03 06:14:34.175,IN,morning
2018-05-03 06:14:36.276,OUT,morning
2018-05-03 06:14:38.381,IN,morning
2018-05-03 06:14:44.988,OUT,morning
2018-05-03 06:14:46.791,IN,morning
2018-05-03 06:14:48.593,OUT,morning
2018-05-03 06:14:50.997,IN,morning
2018-05-03 06:14:54.302,OUT,morning
2018-05-03 06:14:57.603,IN,morning
2018-05-03 06:14:58.504,OUT,morning
2018-05-03 06:15:01.814,IN,morning
2018-05-03 06:15:04.518,OUT,morning
2018-05-03 06:15:22.236,IN,morning
2018-05-03 06:15:24.641,OUT,morning
2018-05-03 06:15:25.841,IN,morning
2018-05-03 06:15:34.250,OUT,morning
2018-05-03 06:15:43.560,IN,morning
2018-05-03 06:15:45.362,OUT,morning
2018-05-03 06:15:47.766,IN,morning
2018-05-03 06:15:50.171,OUT,morning
2018-05-03 06:15:58.580,IN,morning
2018-05-03 06:16:00.686,OUT,morning
2018-05-03 06:16:18.707,IN,morning
2018-05-03 06:16:19.907,OUT,morning
2018-05-03 06:16:27.116,IN,morning
2018-05-03 06:16:29.521,OUT,morning
2018-05-03 06:16:30.721,IN,morning
2018-05-03 06:16:31.622,OUT,morning
2018-05-03 06:16:37.327,IN,morning
2018-05-03 06:16:38.831,OUT,morning
2018-05-03 06:16:42.734,IN,morning
2018-05-03 06:16:46.040,OUT,morning
2018-05-03 06:16:49.046,IN,morning
2018-05-03 06:16:50.549,OUT,morning
2018-05-03 06:16:54.154,IN,morning
2018-05-03 06:16:56.554,OUT,morning
2018-05-03 06:16:58.057,IN,morning
2018-05-03 06:17:01.059,OUT,morning
2018-05-03 06:17:03.161,IN,morning
2018-05-03 06:17:05.565,OUT,morning
2018-05-03 06:17:07.666,IN,morning
2018-05-03 06:17:10.369,OUT,morning
2018-05-03 06:17:11.873,IN,morning
2018-05-03 06:17:16.976,IN,morning
2018-05-03 06:17:19.983,OUT,morning
2018-05-03 06:17:22.085,IN,morning
2018-05-03 06:17:24.488,OUT,morning
2018-05-03 06:17:26.290,IN,morning
2018-05-03 06:17:28.994,OUT,morning
2018-05-03 06:17:31.095,IN,morning
2018-05-03 06:17:33.798,OUT,morning
2018-05-03 06:17:35.601,IN,morning
2018-05-03 06:17:38.304,OUT,morning
2018-05-03 06:17:39.205,IN,morning
2018-05-03 06:17:43.411,OUT,morning
2018-05-03 06:17:45.513,IN,morning
2018-05-03 06:17:59.025,OUT,morning
2018-05-03 06:17:59.926,IN,morning
2018-05-03 06:18:07.139,OUT,morning
2018-05-03 06:18:08.040,IN,morning
2018-05-03 06:18:12.546,OUT,morning
2018-05-03 06:18:14.951,IN,morning
2018-05-03 06:18:17.356,OUT,morning
2018-05-03 06:18:19.456,IN,morning
2018-05-03 06:18:33.874,OUT,morning
2018-05-03 06:18:35.373,IN,morning
2018-05-03 06:18:38.076,OUT,morning
2018-05-03 06:18:40.181,IN,morning
2018-05-03 06:18:42.283,OUT,morning
2018-05-03 06:18:44.085,IN,morning
2018-05-03 06:18:46.788,OUT,morning
2018-05-03 06:18:48.590,IN,morning
2018-05-03 06:18:51.593,OUT,morning
2018-05-03 06:18:53.096,IN,morning
2018-05-03 06:18:56.397,OUT,morning
2018-05-03 06:18:58.503,IN,morning
2018-05-03 06:19:16.222,OUT,morning
2018-05-03 06:19:17.422,IN,morning
2018-05-03 06:19:26.732,OUT,morning
2018-05-03 06:19:27.334,IN,morning
2018-05-03 06:19:30.939,OUT,morning
2018-05-03 06:19:33.344,IN,morning
2018-05-03 09:07:56.688,IN,after breakfast
2018-05-03 09:07:58.490,OUT,after breakfast
2018-05-03 09:08:04.196,IN,after breakfast
2018-05-03 09:08:05.700,OUT,after breakfast
2018-05-03 09:08:06.903,IN,after breakfast
2018-05-03 09:08:08.402,OUT,after breakfast
2018-05-03 09:08:09.905,IN,after breakfast
2018-05-03 09:08:11.405,OUT,after breakfast
2018-05-03 09:08:12.609,IN,after breakfast
2018-05-03 09:08:13.809,OUT,after breakfast
2018-05-03 09:08:15.611,IN,after breakfast
2018-05-03 09:08:17.114,OUT,after breakfast
2018-05-03 09:08:18.917,IN,after breakfast
