datetime,bpm,period
2018-05-03 06:14:29.968,93,morning
2018-05-03 06:14:30.967,93,morning
2018-05-03 06:14:30.969,90,morning
2018-05-03 06:14:30.970,90,morning
2018-05-03 06:14:31.471,93,morning
2018-05-03 06:14:31.770,93,morning
2018-05-03 06:14:32.073,95,morning
2018-05-03 06:14:32.372,99,morning
2018-05-03 06:14:32.671,99,morning
2018-05-03 06:14:46.790,91,morning
2018-05-03 06:14:47.089,91,morning
2018-05-03 06:14:47.691,91,morning
2018-05-03 06:14:47.990,80,morning
2018-05-03 06:14:48.293,80,morning
2018-05-03 06:14:48.592,80,morning
2018-05-03 06:14:48.891,8,morning
2018-05-03 06:14:49.194,80,morning
2018-05-03 06:14:49.494,80,morning
2018-05-03 06:14:49.797,80,morning
2018-05-03 06:14:50.096,80,morning
2018-05-03 06:14:50.395,80,morning
2018-05-03 06:14:50.698,80,morning
2018-05-03 06:14:50.997,80,morning
2018-05-03 06:14:51.599,96,morning
2018-05-03 06:14:51.898,96,morning
2018-05-03 06:14:59.709,94,morning
2018-05-03 06:15:00.008,92,morning
2018-05-03 06:15:00.610,92,morning
2018-05-03 06:15:00.909,93,morning
2018-05-03 06:15:01.212,93,morning
2018-05-03 06:15:01.511,93,morning
2018-05-03 06:15:01.810,8,morning
2018-05-03 06:15:02.113,88,morning
2018-05-03 06:15:02.412,88,morning
2018-05-03 06:15:02.715,88,morning
2018-05-03 06:15:03.014,88,morning
2018-05-03 06:15:03.313,88,morning
2018-05-03 06:15:03.616,88,morning
2018-05-03 06:15:03.915,88,morning
2018-05-03 06:15:04.517,88,morning
2018-05-03 06:15:14.430,99,morning
2018-05-03 06:15:45.661,75,morning
2018-05-03 06:15:45.964,75,morning
2018-05-03 06:15:46.263,78,morning
2018-05-03 06:15:46.865,90,morning
2018-05-03 06:15:47.164,97,morning
2018-05-03 06:15:57.376,96,morning
2018-05-03 06:15:57.679,96,morning
2018-05-03 06:15:57.978,96,morning
2018-05-03 06:15:58.580,89,morning
2018-05-03 06:15:58.879,89,morning
2018-05-03 06:15:59.182,89,morning
2018-05-03 06:15:59.481,89,morning
2018-05-03 06:15:59.780,8,morning
2018-05-03 06:16:00.083,76,morning
2018-05-03 06:16:00.382,76,morning
2018-05-03 06:16:00.685,76,morning
2018-05-03 06:16:00.984,76,morning
2018-05-03 06:16:01.283,76,morning
2018-05-03 06:16:01.586,76,morning
2018-05-03 06:16:01.885,76,morning
2018-05-03 06:16:02.487,76,morning
2018-05-03 06:16:02.786,76,morning
2018-05-03 06:16:03.089,76,morning
2018-05-03 06:16:03.389,76,morning
2018-05-03 06:16:03.687,76,morning
2018-05-03 06:16:03.991,76,morning
2018-05-03 06:16:04.290,82,morning
2018-05-03 06:16:04.892,86,morning
2018-05-03 06:16:05.191,92,morning
2018-05-03 06:16:05.494,97,morning
2018-05-03 06:16:43.934,96,morning
2018-05-03 06:16:44.237,96,morning
2018-05-03 06:16:44.536,96,morning
2018-05-03 06:16:45.138,96,morning
2018-05-03 06:16:45.438,96,morning
2018-05-03 06:16:45.741,96,morning
2018-05-03 06:16:46.040,96,morning
2018-05-03 06:16:46.339,96,morning
2018-05-03 06:16:46.642,96,morning
2018-05-03 06:16:46.941,96,morning
2018-05-03 06:16:47.543,96,morning
2018-05-03 06:16:47.842,96,morning
2018-05-03 06:16:48.145,96,morning
2018-05-03 06:16:48.444,96,morning
2018-05-03 06:16:48.743,9,morning
2018-05-03 06:16:50.545,6,morning
2018-05-03 06:16:50.848,70,morning
2018-05-03 06:16:51.147,78,morning
2018-05-03 06:16:51.450,87,morning
2018-05-03 06:16:51.749,87,morning
2018-05-03 06:16:52.048,94,morning
2018-05-03 06:17:21.785,99,morning
2018-05-03 06:17:22.084,99,morning
2018-05-03 06:17:22.383,9,morning
2018-05-03 06:17:22.686,97,morning
2018-05-03 06:17:22.985,97,morning
2018-05-03 06:17:31.697,96,morning
2018-05-03 06:17:31.996,96,morning
2018-05-03 06:17:32.598,96,morning
2018-05-03 06:18:02.630,97,morning
2018-05-03 06:18:02.933,97,morning
2018-05-03 06:18:03.232,92,morning
2018-05-03 06:18:03.834,88,morning
2018-05-03 06:18:04.133,88,morning
2018-05-03 06:18:04.436,84,morning
2018-05-03 06:18:04.735,84,morning
2018-05-03 06:18:05.034,80,morning
2018-05-03 06:18:05.337,80,morning
2018-05-03 06:18:05.636,77,morning
2018-05-03 06:18:06.238,87,morning
2018-05-03 06:18:06.537,94,morning
2018-05-03 06:18:12.845,99,morning
2018-05-03 06:18:13.447,98,morning
2018-05-03 06:18:13.746,98,morning
2018-05-03 06:18:14.049,98,morning
2018-05-03 06:18:14.348,98,morning
2018-05-03 06:18:14.647,9,morning
2018-05-03 06:18:14.950,96,morning
2018-05-03 06:18:15.249,96,morning
2018-05-03 06:18:15.552,96,morning
2018-05-03 06:18:15.851,94,morning
2018-05-03 06:18:16.150,94,morning
2018-05-03 06:18:16.454,95,morning
2018-05-03 06:18:16.753,95,morning
2018-05-03 06:18:17.355,94,morning
2018-05-03 06:18:17.654,94,morning
2018-05-03 06:18:17.957,98,morning
2018-05-03 06:19:28.534,97,morning
2018-05-03 06:19:28.833,97,morning
2018-05-03 06:19:29.136,97,morning
2018-05-03 06:19:29.435,85,morning
2018-05-03 06:19:30.037,85,morning
2018-05-03 06:19:30.336,85,morning
2018-05-03 06:19:30.639,77,morning
2018-05-03 06:19:30.938,77,morning
2018-05-03 06:19:31.541,72,morning
2018-05-03 06:19:31.840,72,morning
2018-05-03 06:19:32.143,70,morning
2018-05-03 06:19:32.442,71,morning
2018-05-03 06:19:32.741,71,morning
2018-05-03 06:19:33.044,71,morning
2018-05-03 06:19:33.343,71,morning
2018-05-03 06:19:33.945,71,morning
2018-05-03 06:19:34.244,70,morning
2018-05-03 06:19:34.547,72,morning
2018-05-03 06:19:34.846,78,morning
2018-05-03 06:19:35.448,78,morning
2018-05-03 06:19:35.747,82,morning
2018-05-03 06:19:36.050,82,morning
2018-05-03 06:19:36.349,86,morning
2018-05-03 06:19:36.648,86,morning
2018-05-03 06:19:36.951,86,morning
2018-05-03 06:19:37.250,91,morning
2018-05-03 06:19:37.852,94,morning
2018-05-03 06:19:38.151,94,morning
2018-05-03 06:19:38.455,94,morning
2018-05-03 06:19:38.754,94,morning
2018-05-03 06:19:39.053,90,morning
2018-05-03 06:19:39.356,90,morning
2018-05-03 06:19:39.655,92,morning
2018-05-03 06:19:40.257,96,morning
2018-05-03 09:08:05.097,106,after breakfast
2018-05-03 09:08:05.400,107,after breakfast
2018-05-03 09:08:05.699,107,after breakfast
2018-05-03 09:08:06.002,108,after breakfast
2018-05-03 09:08:33.932,98,after breakfast
2018-05-03 09:08:34.231,98,after breakfast
2018-05-03 09:08:34.535,97,after breakfast
2018-05-03 09:08:34.833,97,after breakfast
2018-05-03 09:08:35.436,98,after breakfast
2018-05-03 09:08:35.735,98,after breakfast
2018-05-03 09:08:36.038,98,after breakfast
2018-05-03 09:08:36.337,99,after breakfast
2018-05-03 09:08:36.636,104,after breakfast
2018-05-03 09:08:45.348,107,after breakfast
2018-05-03 09:08:45.647,107,after breakfast
2018-05-03 09:08:45.950,107,after breakfast
2018-05-03 09:08:46.249,107,after breakfast
2018-05-03 09:08:46.851,108,after breakfast
2018-05-03 09:08:47.150,108,after breakfast
2018-05-03 09:08:47.453,108,after breakfast
2018-05-03 09:08:47.752,106,after breakfast
2018-05-03 09:08:48.051,1,after breakfast
2018-05-03 09:08:48.354,105,after breakfast
2018-05-03 09:08:48.653,105,after breakfast
2018-05-03 09:08:48.956,101,after breakfast
2018-05-03 09:08:49.255,105,after breakfast
2018-05-03 09:08:49.554,10,after breakfast
2018-05-03 09:08:49.858,105,after breakfast
