,datetime,type,period
0,2018-05-03 06:14:21.559,IN,morning
1,2018-05-03 06:14:24.262,OUT,morning
2,2018-05-03 06:14:26.065,IN,morning
3,2018-05-03 06:14:27.867,OUT,morning
4,2018-05-03 06:14:30.965,IN,morning
5,2018-05-03 06:14:31.771,OUT,morning
6,2018-05-03 06:14:34.175,IN,morning
7,2018-05-03 06:14:36.276,OUT,morning
8,2018-05-03 06:14:38.381,IN,morning
9,2018-05-03 06:14:44.988,OUT,morning
10,2018-05-03 06:14:46.791,IN,morning
11,2018-05-03 06:14:48.593,OUT,morning
12,2018-05-03 06:14:50.997,IN,morning
13,2018-05-03 06:14:54.302,OUT,morning
14,2018-05-03 06:14:57.603,IN,morning
15,2018-05-03 06:14:58.504,OUT,morning
16,2018-05-03 06:15:01.814,IN,morning
17,2018-05-03 06:15:04.518,OUT,morning
18,2018-05-03 06:15:22.236,IN,morning
19,2018-05-03 06:15:24.641,OUT,morning
20,2018-05-03 06:15:25.841,IN,morning
21,2018-05-03 06:15:34.250,OUT,morning
22,2018-05-03 06:15:43.560,IN,morning
23,2018-05-03 06:15:45.362,OUT,morning
24,2018-05-03 06:15:47.766,IN,morning
25,2018-05-03 06:15:50.171,OUT,morning
26,2018-05-03 06:15:58.580,IN,morning
27,2018-05-03 06:16:00.686,OUT,morning
28,2018-05-03 06:16:18.707,IN,morning
29,2018-05-03 06:16:19.907,OUT,morning
30,2018-05-03 06:16:27.116,IN,morning
31,2018-05-03 06:16:29.521,OUT,morning
32,2018-05-03 06:16:30.721,IN,morning
33,2018-05-03 06:16:31.622,OUT,morning
34,2018-05-03 06:16:37.327,IN,morning
35,2018-05-03 06:16:38.831,OUT,morning
36,2018-05-03 06:16:42.734,IN,morning
37,2018-05-03 06:16:46.040,OUT,morning
38,2018-05-03 06:16:49.046,IN,morning
39,2018-05-03 06:16:50.549,OUT,morning
40,2018-05-03 06:16:54.154,IN,morning
41,2018-05-03 06:16:56.554,OUT,morning
42,2018-05-03 06:16:58.057,IN,morning
43,2018-05-03 06:17:01.059,OUT,morning
44,2018-05-03 06:17:03.161,IN,morning
45,2018-05-03 06:17:05.565,OUT,morning
46,2018-05-03 06:17:07.666,IN,morning
47,2018-05-03 06:17:10.369,OUT,morning
48,2018-05-03 06:17:11.873,IN,morning
49,2018-05-03 06:17:16.976,IN,morning
50,2018-05-03 06:17:19.983,OUT,morning
51,2018-05-03 06:17:22.085,IN,morning
52,2018-05-03 06:17:24.488,OUT,morning
53,2018-05-03 06:17:26.290,IN,morning
54,2018-05-03 06:17:28.994,OUT,morning
55,2018-05-03 06:17:31.095,IN,morning
56,2018-05-03 06:17:33.798,OUT,morning
57,2018-05-03 06:17:35.601,IN,morning
58,2018-05-03 06:17:38.304,OUT,morning
59,2018-05-03 06:17:39.205,IN,morning
60,2018-05-03 06:17:43.411,OUT,morning
61,2018-05-03 06:17:45.513,IN,morning
62,2018-05-03 06:17:59.025,OUT,morning
63,2018-05-03 06:17:59.926,IN,morning
64,2018-05-03 06:18:07.139,OUT,morning
65,2018-05-03 06:18:08.040,IN,morning
66,2018-05-03 06:18:12.546,OUT,morning
67,2018-05-03 06:18:14.951,IN,morning
68,2018-05-03 06:18:17.356,OUT,morning
69,2018-05-03 06:18:19.456,IN,morning
70,2018-05-03 06:18:33.874,OUT,morning
71,2018-05-03 06:18:35.373,IN,morning
72,2018-05-03 06:18:38.076,OUT,morning
73,2018-05-03 06:18:40.181,IN,morning
74,2018-05-03 06:18:42.283,OUT,morning
75,2018-05-03 06:18:44.085,IN,morning
76,2018-05-03 06:18:46.788,OUT,morning
77,2018-05-03 06:18:48.590,IN,morning
78,2018-05-03 06:18:51.593,OUT,morning
79,2018-05-03 06:18:53.096,IN,morning
80,2018-05-03 06:18:56.397,OUT,morning
81,2018-05-03 06:18:58.503,IN,morning
82,2018-05-03 06:19:16.222,OUT,morning
83,2018-05-03 06:19:17.422,IN,morning
84,2018-05-03 06:19:26.732,OUT,morning
85,2018-05-03 06:19:27.334,IN,morning
86,2018-05-03 06:19:30.939,OUT,morning
87,2018-05-03 06:19:33.344,IN,morning
88,2018-05-03 09:07:56.688,IN,after breakfast
89,2018-05-03 09:07:58.490,OUT,after breakfast
90,2018-05-03 09:08:04.196,IN,after breakfast
91,2018-05-03 09:08:05.700,OUT,after breakfast
92,2018-05-03 09:08:06.903,IN,after breakfast
93,2018-05-03 09:08:08.402,OUT,after breakfast
94,2018-05-03 09:08:09.905,IN,after breakfast
95,2018-05-03 09:08:11.405,OUT,after breakfast
96,2018-05-03 09:08:12.609,IN,after breakfast
97,2018-05-03 09:08:13.809,OUT,after breakfast
98,2018-05-03 09:08:15.611,IN,after breakfast
99,2018-05-03 09:08:17.114,OUT,after breakfast
100,2018-05-03 09:08:18.917,IN,after breakfast
101,2018-05-03 09:08:20.416,OUT,after breakfast
102,2018-05-03 09:08:22.218,IN,after breakfast
103,2018-05-03 09:08:23.422,OUT,after breakfast
104,2018-05-03 09:08:24.921,IN,after breakfast
105,2018-05-03 09:08:26.425,OUT,after breakfast
106,2018-05-03 09:08:27.924,IN,after breakfast
107,2018-05-03 09:08:29.427,OUT,after breakfast
108,2018-05-03 09:08:34.535,IN,after breakfast
109,2018-05-03 09:08:36.640,OUT,after breakfast
110,2018-05-03 09:08:40.842,IN,after breakfast
111,2018-05-03 09:08:42.943,OUT,after breakfast
112,2018-05-03 09:08:44.148,IN,after breakfast
113,2018-05-03 09:08:45.648,OUT,after breakfast
114,2018-05-03 09:08:47.753,IN,after breakfast
115,2018-05-03 09:08:49.256,OUT,after breakfast
116,2018-05-03 09:08:51.062,IN,after breakfast
117,2018-05-03 09:08:52.263,OUT,after breakfast
118,2018-05-03 09:08:54.065,IN,after breakfast
119,2018-05-03 09:08:55.568,OUT,after breakfast
120,2018-05-03 09:08:57.374,IN,after breakfast
121,2018-05-03 09:08:58.877,OUT,after breakfast
122,2018-05-03 09:09:00.380,IN,after breakfast
123,2018-05-03 09:09:01.883,OUT,after breakfast
124,2018-05-03 09:09:03.686,IN,after breakfast
125,2018-05-03 09:09:04.587,OUT,after breakfast
126,2018-05-03 09:09:10.599,IN,after breakfast
127,2018-05-03 09:09:11.501,OUT,after breakfast
128,2018-05-03 09:09:13.303,IN,after breakfast
129,2018-05-03 09:09:14.806,OUT,after breakfast
130,2018-05-03 09:09:16.305,IN,after breakfast
131,2018-05-03 09:09:17.808,OUT,after breakfast
132,2018-05-03 09:09:19.311,IN,after breakfast
133,2018-05-03 09:09:20.810,OUT,after breakfast
134,2018-05-03 09:09:22.613,IN,after breakfast
135,2018-05-03 09:09:24.118,OUT,after breakfast
136,2018-05-03 09:09:25.620,IN,after breakfast
137,2018-05-03 09:09:27.123,OUT,after breakfast
138,2018-05-03 09:09:28.926,IN,after breakfast
139,2018-05-03 09:09:30.429,OUT,after breakfast
140,2018-05-03 09:09:32.230,IN,after breakfast
141,2018-05-03 09:09:33.131,OUT,after breakfast
142,2018-05-03 09:09:34.635,IN,after breakfast
143,2018-05-03 09:09:35.840,OUT,after breakfast
144,2018-05-03 09:09:37.642,IN,after breakfast
145,2018-05-03 09:09:39.443,OUT,after breakfast
146,2018-05-03 09:09:43.347,IN,after breakfast
147,2018-05-03 09:09:45.154,OUT,after breakfast
148,2018-05-03 09:09:49.060,IN,after breakfast
149,2018-05-03 09:09:50.559,OUT,after breakfast
150,2018-05-03 09:09:52.063,IN,after breakfast
151,2018-05-03 09:09:53.263,OUT,after breakfast
152,2018-05-03 09:09:55.369,IN,after breakfast
153,2018-05-03 09:09:56.270,OUT,after breakfast
154,2018-05-03 09:09:58.072,IN,after breakfast
155,2018-05-03 09:09:59.276,OUT,after breakfast
156,2018-05-03 09:10:00.779,IN,after breakfast
157,2018-05-03 09:10:01.979,OUT,after breakfast
158,2018-05-03 09:10:03.482,IN,after breakfast
159,2018-05-03 09:10:04.981,OUT,after breakfast
160,2018-05-03 09:10:06.186,IN,after breakfast
161,2018-05-03 09:10:07.690,OUT,after breakfast
162,2018-05-03 09:10:08.890,IN,after breakfast
163,2018-05-03 09:10:10.695,OUT,after breakfast
164,2018-05-03 09:10:11.896,IN,after breakfast
165,2018-05-03 09:10:13.701,OUT,after breakfast
166,2018-05-03 09:10:15.505,IN,after breakfast
167,2018-05-03 09:10:17.008,OUT,after breakfast
168,2018-05-03 09:10:19.112,IN,after breakfast
169,2018-05-03 09:10:20.313,OUT,after breakfast
170,2018-05-03 09:10:22.115,IN,after breakfast
171,2018-05-03 09:10:23.619,OUT,after breakfast
172,2018-05-03 09:10:25.122,IN,after breakfast
173,2018-05-03 09:10:26.325,OUT,after breakfast
174,2018-05-03 09:10:28.127,IN,after breakfast
175,2018-05-03 09:10:29.627,OUT,after breakfast
176,2018-05-03 09:10:31.130,IN,after breakfast
177,2018-05-03 09:10:32.634,OUT,after breakfast
178,2018-05-03 09:10:37.138,IN,after breakfast
179,2018-05-03 09:10:38.343,OUT,after breakfast
180,2018-05-03 09:10:40.146,IN,after breakfast
181,2018-05-03 09:10:41.649,OUT,after breakfast
182,2018-05-03 09:10:43.152,IN,after breakfast
183,2018-05-03 09:10:44.954,OUT,after breakfast
184,2018-05-03 09:10:46.158,IN,after breakfast
185,2018-05-03 09:10:48.260,OUT,after breakfast
186,2018-05-03 09:10:49.464,IN,after breakfast
187,2018-05-03 09:10:50.967,OUT,after breakfast
188,2018-05-03 09:10:52.470,IN,after breakfast
189,2018-05-03 09:10:53.671,OUT,after breakfast
190,2018-05-03 09:10:55.174,IN,after breakfast
191,2018-05-03 09:10:56.677,OUT,after breakfast
192,2018-05-03 09:10:57.279,IN,after breakfast
193,2018-05-03 09:10:59.684,OUT,after breakfast
194,2018-05-03 09:11:01.485,IN,after breakfast
195,2018-05-03 09:11:02.989,OUT,after breakfast
196,2018-05-03 09:11:07.494,IN,after breakfast
197,2018-05-03 09:11:08.997,OUT,after breakfast
198,2018-05-03 09:11:12.601,OUT,after breakfast
199,2018-05-03 09:11:17.705,IN,after breakfast
200,2018-05-03 09:11:18.910,OUT,after breakfast
201,2018-05-03 09:11:20.711,IN,after breakfast
202,2018-05-03 09:11:21.911,OUT,after breakfast
203,2018-05-03 09:11:24.013,IN,after breakfast
204,2018-05-03 09:11:25.516,OUT,after breakfast
205,2018-05-03 09:11:27.019,IN,after breakfast
206,2018-05-03 09:11:28.522,OUT,after breakfast
207,2018-05-03 09:11:30.326,IN,after breakfast
208,2018-05-03 09:11:31.828,OUT,after breakfast
209,2018-05-03 09:11:40.839,IN,after breakfast
210,2018-05-03 09:11:41.740,OUT,after breakfast
211,2018-05-03 09:11:44.742,IN,after breakfast
